[2018-04-09 22:09:54,144] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-04-09 22:09:54,148] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2018-04-09 22:09:54,149] INFO Shutting down. (kafka.log.LogManager)
[2018-04-09 22:09:54,163] INFO [ProducerStateManager partition=word-count-input-0] Writing producer snapshot at offset 4 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,178] INFO [ProducerStateManager partition=streams-starter-app-KSTREAM-AGGREGATE-STATE-STORE-0000000004-changelog-1] Writing producer snapshot at offset 15 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,184] INFO [ProducerStateManager partition=__consumer_offsets-19] Writing producer snapshot at offset 14 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,185] INFO [ProducerStateManager partition=word-count-output-1] Writing producer snapshot at offset 15 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,188] INFO [ProducerStateManager partition=word-count-output-0] Writing producer snapshot at offset 12 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,189] INFO [ProducerStateManager partition=streams-starter-app-KSTREAM-AGGREGATE-STATE-STORE-0000000004-changelog-0] Writing producer snapshot at offset 12 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,196] INFO [ProducerStateManager partition=word-count-input-1] Writing producer snapshot at offset 4 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,197] INFO [ProducerStateManager partition=__consumer_offsets-1] Writing producer snapshot at offset 10 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,199] INFO [ProducerStateManager partition=__consumer_offsets-5] Writing producer snapshot at offset 809 (kafka.log.ProducerStateManager)
[2018-04-09 22:09:54,213] INFO Shutdown complete. (kafka.log.LogManager)
[2018-04-09 22:09:54,229] INFO [ZooKeeperClient] Closing. (kafka.zookeeper.ZooKeeperClient)
[2018-04-09 22:09:54,754] INFO Session: 0x162ad277ca50000 closed (org.apache.zookeeper.ZooKeeper)
[2018-04-09 22:09:54,756] INFO [ZooKeeperClient] Closed. (kafka.zookeeper.ZooKeeperClient)
